time_s,row,state
20.096,Flat,1
20.237,Flat,1
20.379,Flat,1
20.521,Flat,1
20.662,Flat,1
20.804,Flat,1
20.945,Flat,1
21.087,Flat,1
21.229,Flat,1
21.37,Flat,1
21.512,Flat,1
21.654,Flat,1
21.795,Flat,1
21.937,Flat,1
22.078,Flat,1
22.22,Flat,1
22.362,Flat,1
22.503,Flat,1
22.645,Flat,1
22.786,Flat,1
22.928,Flat,1
23.07,Flat,1
23.211,Flat,1
23.353,Flat,1
23.495,Flat,1
23.636,Flat,1
23.778,Flat,1
23.919,Flat,1
24.061,Flat,1
24.203,Flat,1
24.344,Flat,1
24.486,Flat,1
24.627,Flat,1
24.769,Flat,1
24.911,Flat,1
25.052,Flat,1
25.194,Flat,1
25.336,Flat,1
25.477,Flat,1
25.619,Flat,1
25.76,Flat,1
25.902,Flat,1
26.044,Flat,1
26.185,Flat,1
26.327,Flat,1
26.468,Flat,1
26.61,Flat,1
26.752,Flat,1
26.893,Flat,1
27.035,Flat,1
27.177,Flat,1
27.318,Flat,1
27.46,Flat,1
27.601,Flat,1
27.743,Flat,1
27.885,Flat,1
28.026,Flat,1
28.168,Flat,1
28.309,Flat,1
28.451,Flat,1
28.593,Flat,1
28.734,Flat,1
28.876,Flat,1
29.017,Flat,1
29.159,Flat,1
29.301,Flat,1
29.442,Flat,1
29.584,Flat,1
29.726,Flat,1
29.867,Flat,1
30.009,Flat,1
30.15,Flat,1
30.292,Flat,1
30.434,Flat,1
30.575,Flat,1
30.717,Flat,1
30.858,Flat,1
31.0,Flat,1
31.142,Flat,1
31.283,Flat,1
31.425,Flat,1
31.567,Flat,1
31.708,Flat,1
31.85,Flat,1
31.991,Flat,1
32.133,Flat,1
32.275,Flat,1
32.416,Flat,1
32.558,Flat,1
32.699,Flat,1
32.841,Flat,1
32.983,Flat,1
33.124,Flat,1
33.266,Flat,1
33.408,Flat,1
33.549,Flat,1
33.691,Flat,1
33.832,Flat,1
33.974,Flat,1
34.116,Flat,1
34.257,Flat,1
34.399,Flat,1
34.54,Flat,1
34.682,Flat,1
34.824,Flat,1
34.965,Flat,1
35.107,Flat,1
35.249,Flat,1
35.39,Flat,1
35.532,Flat,1
35.673,Flat,1
35.815,Flat,1
35.957,Flat,1
36.098,Flat,1
36.24,Flat,1
36.381,Flat,1
36.523,Flat,1
36.665,Flat,1
36.806,Flat,1
36.948,Flat,1
37.09,Flat,1
37.231,Flat,1
37.373,Flat,1
37.514,Flat,1
37.656,Flat,1
37.798,Flat,1
37.939,Flat,1
38.081,Flat,1
38.222,Flat,1
38.364,Flat,1
38.506,Flat,1
38.647,Flat,1
38.789,Flat,1
38.93,Flat,1
39.072,Flat,1
39.214,Flat,1
39.355,Flat,1
39.497,Flat,1
39.639,Flat,1
39.78,Flat,1
39.922,Flat,1
40.063,Flat,1
40.205,Flat,1
40.347,Flat,1
40.488,Flat,1
40.63,Flat,1
40.771,Flat,1
40.913,Flat,1
41.055,Flat,1
41.196,Flat,1
41.338,Flat,1
41.48,Flat,1
41.621,Flat,1
41.763,Flat,1
41.904,Flat,1
42.046,Flat,1
42.188,Flat,1
42.329,Flat,1
42.471,Flat,1
42.612,Flat,1
42.754,Flat,1
42.896,Flat,1
43.037,Flat,1
43.179,Flat,1
43.321,Flat,1
43.462,Flat,1
43.604,Flat,1
43.745,Flat,1
43.887,Flat,1
44.029,Flat,1
44.17,Flat,1
44.312,Flat,1
44.453,Flat,1
44.595,Flat,1
44.737,Flat,1
44.878,Flat,1
45.02,Flat,0
45.162,Flat,0
45.303,Flat,0
45.445,Flat,0
45.586,Flat,0
45.728,Flat,0
45.87,Flat,0
46.011,Flat,0
46.153,Flat,0
46.294,Flat,0
46.436,Flat,0
46.578,Flat,0
46.719,Flat,0
46.861,Flat,0
47.002,Flat,0
