series,time_s,value
std_accel_z,88.088,2.3411
std_accel_z,88.226,2.2542
std_accel_z,88.365,2.3932
std_accel_z,88.504,2.3932
std_accel_z,88.642,2.1672
std_accel_z,88.781,1.976
std_accel_z,88.92,1.7674
std_accel_z,89.058,1.75
std_accel_z,89.197,2.0282
std_accel_z,89.336,2.0803
std_accel_z,89.474,1.9412
std_accel_z,89.613,1.9586
std_accel_z,89.752,2.1151
std_accel_z,89.89,2.2194
std_accel_z,90.029,2.2715
std_accel_z,90.168,2.2889
std_accel_z,90.306,2.1672
std_accel_z,90.445,2.1151
std_accel_z,90.584,2.1499
std_accel_z,90.722,2.3063
std_accel_z,90.861,2.4975
std_accel_z,91.0,2.428
std_accel_z,91.138,2.428
std_accel_z,91.277,2.6018
std_accel_z,91.416,2.6192
std_accel_z,91.554,2.654
std_accel_z,91.693,2.7931
std_accel_z,91.832,2.7235
std_accel_z,91.97,2.6018
std_accel_z,92.109,2.5149
std_accel_z,92.248,2.3585
std_accel_z,92.386,1.9586
std_accel_z,92.525,1.8369
std_accel_z,92.664,1.8196
std_accel_z,92.802,1.7674
std_accel_z,92.941,1.6457
std_accel_z,93.08,1.7674
std_accel_z,93.218,1.8196
std_accel_z,93.357,1.8543
std_accel_z,93.496,2.0629
std_accel_z,93.634,2.202
std_accel_z,93.773,2.3411
std_accel_z,93.912,2.3758
std_accel_z,94.05,2.5323
std_accel_z,94.189,2.5671
std_accel_z,94.328,2.5671
std_accel_z,94.466,2.4975
std_accel_z,94.605,2.3237
std_accel_z,94.744,2.428
std_accel_z,94.882,2.5845
std_accel_z,95.021,2.6366
std_accel_z,95.16,2.654
std_accel_z,95.298,2.3411
std_accel_z,95.437,2.3063
std_accel_z,95.576,2.2715
std_accel_z,95.714,2.2368
std_accel_z,95.853,2.0977
std_accel_z,95.992,2.0803
std_accel_z,96.13,1.9586
std_accel_z,96.269,2.1325
std_accel_z,96.408,2.8104
std_accel_z,96.546,3.1929
std_accel_z,96.685,3.4189
std_accel_z,96.824,3.3841
std_accel_z,96.962,3.2972
std_accel_z,97.101,3.2972
std_accel_z,97.24,3.2972
std_accel_z,97.378,3.2972
std_accel_z,97.517,3.3146
